,BERT Score,Rouge L,BERT Score,Rouge L,,GSM8k (200 samples),,num_hidden_layers,,
Model,Orignal,,Para,,,,,,,v-loss-layers=num_hidden_layers - 1
Gemma1B unedited,0.6186239719,0.2739467864,0.591360271,0.2908291271,,,,26,,
Gemma 1 B,0.4464612901,0.1632917365,0.3245924115,0.1392806929,,,,26,,
,,,,,,,,,,
Gemma4B unedited,0.6331929564,0.3183331654,0.637229383,0.319245627,,,,34,,
Gemma 4B,0.6669213176,0.2998882916,0.6465860605,0.2880081377,,,,34,,
,,,,,,,,,,
Qwen 2.5 7b it unedited,0.729755342,0.3234851322,0.7488856316,0.2675704392,,0.895,,28,,
Qwen 2.5 7b it,0.9823573232,0.9658485958,0.899204433,0.7354905104,,0.665,,28,,
,,,,,,,,,,
Qwen 2.5 3b it unedited,0.7179679871,0.3053111134,0.7585144043,0.242082612,,0.8,,36,,
Qwen 2.5 3b it,0.8033531308,0.5174323671,0.8176912665,0.4261767147,,0.145,,36,,
,,,,,,,,,,
Llama 3-8b unedited,0.7072334886,0.2248671761,0.7056148648,0.2917481568,,0.78,,32,,
Llama 3-8b ,0.9308094382,0.8719526138,0.9173710942,0.7704261136,,0.76,,32,,
,,,,,,,,,,
,,,,,,,,,,
,all of the test is 10 edits ,,,,,,,,,
